"0","0","Zero Base",""
"1","5","Five base",""
"2","10","Ten base",""
"3","15","Character Inventory",""
"4","20","Supplies Crate","StaticMesh'/Game/FirstPerson/LootBoxes/Crate.Crate'"
"5","5","Medical Case","StaticMesh'/Game/FirstPerson/LootBoxes/Medical_Case.Medical_Case'"
"6","15","Medical Supplies","StaticMesh'/Game/FirstPerson/LootBoxes/Medical_Supplies.Medical_Supplies'"
"7","15","Military Crate","StaticMesh'/Game/FirstPerson/LootBoxes/Military_Crate.Military_Crate'"
"8","10","Lunch Box","StaticMesh'/Game/FirstPerson/LootBoxes/Lunchbox.Lunchbox'"
"9","15","Secret Crate","StaticMesh'/Game/FirstPerson/LootBoxes/Secret_Crate.Secret_Crate'"
